timestamp,P_mpp_original,P_pv,P_pv_setpoint,ghi,temp,dispo_pv,wind_speed,Ppv_dc_mpp_th,P_mpp
2021-11-01 11:00:00+00:00,57.8485285,59.26061211,247.16,261.8511111,28.06731483,100.0,0,51.24836268924069,51.24836268924069
2021-11-01 11:15:00+00:00,160.3933452,155.870901,247.16,746.1933333,25.0,100.0,0,145.80815155905668,145.80815155905668
2021-11-01 11:30:00+00:00,174.78275,154.8112981,247.16,825.0078716,25.0,100.0,0,159.59824461248178,159.59824461248178
2021-11-01 11:45:00+00:00,87.51607071,85.60328694,247.16,395.5767601,25.0,100.0,0,77.83355758471527,77.83355758471527
2021-11-01 12:00:00+00:00,133.5390714,128.0025818,247.16,631.6312036,25.0,100.0,0,121.75431513647413,121.75431513647413
2021-11-01 12:15:00+00:00,160.3506945,154.0932665,247.16,756.6116664,25.0,100.0,0,143.70790950975436,143.70790950975436
2021-11-01 12:30:00+00:00,112.456644,108.4033371,247.16,515.1831479,25.0,100.0,0,99.32480641651823,99.32480641651823
2021-11-01 12:45:00+00:00,67.82657788,69.59744349,247.16,318.0068517,37.82583333,100.0,0,58.47457220268532,58.47457220268532
2021-11-01 13:00:00+00:00,46.43092684,50.74972307,247.16,217.4047224,33.244537,100.0,0,40.954840379786376,40.954840379786376
2021-11-01 13:15:00+00:00,60.36536893,65.5513888,247.16,286.0632411,35.11148156,100.0,0,53.22579392786115,53.22579392786115
2021-11-01 13:30:00+00:00,59.8244423,65.42141211,247.16,284.4520369,35.30749998,100.0,0,52.77813373205688,52.77813373205688
2021-11-01 13:45:00+00:00,59.94038577,64.65477216,247.16,287.2551851,36.44314816,100.0,0,52.87417236764359,52.87417236764359
2021-11-01 14:00:00+00:00,54.92927189,59.29770551,247.16,262.3035186,35.34101853,100.0,0,48.52828871424218,48.52828871424218
2021-11-01 14:15:00+00:00,57.11503533,60.51782857,247.16,271.4012037,32.69685184,100.0,0,50.75021811043078,50.75021811043078
